"","1 segs","2 segs","3 segs","4 segs","5 segs","6 segs"
"k=1",0.962790697674419,0.986046511627907,0.990697674418605,0.981395348837209,0.986046511627907,0.986046511627907
"k=2",0.962790697674419,0.986046511627907,0.995348837209302,0.995348837209302,0.986046511627907,0.986046511627907
"k=3",0.972093023255814,0.995348837209302,0.986046511627907,0.990697674418605,0.986046511627907,0.995348837209302
"k=4",0.976744186046512,0.995348837209302,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=5",0.986046511627907,0.986046511627907,0.986046511627907,0.995348837209302,0.995348837209302,0.995348837209302
"k=6",0.986046511627907,0.990697674418605,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=7",0.976744186046512,0.986046511627907,0.990697674418605,0.995348837209302,0.990697674418605,0.995348837209302
"k=8",0.986046511627907,0.986046511627907,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=9",0.981395348837209,0.981395348837209,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=10",0.981395348837209,0.981395348837209,0.990697674418605,0.995348837209302,0.990697674418605,0.995348837209302
"k=11",0.976744186046512,0.981395348837209,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=12",0.986046511627907,0.981395348837209,0.990697674418605,0.995348837209302,0.990697674418605,0.995348837209302
"k=13",0.986046511627907,0.981395348837209,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=14",0.986046511627907,0.981395348837209,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=15",0.981395348837209,0.981395348837209,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=16",0.986046511627907,0.981395348837209,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=17",0.981395348837209,0.981395348837209,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=18",0.986046511627907,0.981395348837209,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=19",0.981395348837209,0.981395348837209,0.986046511627907,0.995348837209302,0.990697674418605,0.995348837209302
"k=20",0.981395348837209,0.981395348837209,0.986046511627907,0.995348837209302,0.990697674418605,0.990697674418605
"k=21",0.976744186046512,0.981395348837209,0.981395348837209,0.995348837209302,0.990697674418605,0.990697674418605
"k=22",0.976744186046512,0.981395348837209,0.986046511627907,0.995348837209302,0.990697674418605,0.990697674418605
"k=23",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=24",0.981395348837209,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=25",0.976744186046512,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=26",0.976744186046512,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=27",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=28",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=29",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=30",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=31",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=32",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=33",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=34",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=35",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=36",0.976744186046512,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=37",0.976744186046512,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=38",0.976744186046512,0.981395348837209,0.976744186046512,0.990697674418605,0.990697674418605,0.990697674418605
"k=39",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=40",0.972093023255814,0.981395348837209,0.981395348837209,0.990697674418605,0.990697674418605,0.990697674418605
"k=41",0.972093023255814,0.976744186046512,0.981395348837209,0.990697674418605,0.986046511627907,0.990697674418605
