"","1 segs","2 segs","3 segs","4 segs","5 segs","6 segs"
"k=1",0.972093023255814,0.995348837209302,0.958139534883721,0.962790697674419,0.967441860465116,0.962790697674419
"k=2",0.972093023255814,0.995348837209302,0.972093023255814,0.976744186046512,0.967441860465116,0.981395348837209
"k=3",0.976744186046512,0.995348837209302,0.972093023255814,0.976744186046512,0.981395348837209,0.976744186046512
"k=4",0.981395348837209,0.995348837209302,0.976744186046512,0.981395348837209,0.986046511627907,0.986046511627907
"k=5",0.981395348837209,0.986046511627907,0.981395348837209,0.981395348837209,0.981395348837209,0.990697674418605
"k=6",0.981395348837209,0.986046511627907,0.981395348837209,0.981395348837209,0.981395348837209,0.990697674418605
"k=7",0.976744186046512,0.981395348837209,0.986046511627907,0.981395348837209,0.981395348837209,0.990697674418605
"k=8",0.976744186046512,0.986046511627907,0.986046511627907,0.981395348837209,0.981395348837209,0.990697674418605
"k=9",0.976744186046512,0.986046511627907,0.986046511627907,0.981395348837209,0.981395348837209,0.990697674418605
"k=10",0.976744186046512,0.986046511627907,0.986046511627907,0.986046511627907,0.986046511627907,0.986046511627907
"k=11",0.976744186046512,0.990697674418605,0.976744186046512,0.986046511627907,0.981395348837209,0.990697674418605
"k=12",0.976744186046512,0.990697674418605,0.976744186046512,0.990697674418605,0.981395348837209,0.990697674418605
"k=13",0.976744186046512,0.990697674418605,0.976744186046512,0.986046511627907,0.972093023255814,0.990697674418605
"k=14",0.976744186046512,0.990697674418605,0.981395348837209,0.986046511627907,0.962790697674419,0.990697674418605
"k=15",0.967441860465116,0.990697674418605,0.976744186046512,0.981395348837209,0.981395348837209,0.990697674418605
"k=16",0.976744186046512,0.990697674418605,0.972093023255814,0.986046511627907,0.981395348837209,0.990697674418605
"k=17",0.967441860465116,0.990697674418605,0.972093023255814,0.981395348837209,0.976744186046512,0.986046511627907
"k=18",0.972093023255814,0.990697674418605,0.972093023255814,0.981395348837209,0.976744186046512,0.986046511627907
"k=19",0.967441860465116,0.990697674418605,0.972093023255814,0.981395348837209,0.976744186046512,0.990697674418605
"k=20",0.967441860465116,0.990697674418605,0.972093023255814,0.981395348837209,0.976744186046512,0.990697674418605
"k=21",0.967441860465116,0.981395348837209,0.972093023255814,0.981395348837209,0.972093023255814,0.990697674418605
"k=22",0.972093023255814,0.990697674418605,0.972093023255814,0.976744186046512,0.972093023255814,0.990697674418605
